timestamp,open,high,low,close,volume
2025-01-13 19:00:00,217.4000,219.0000,217.4000,217.7000,1101577
2025-01-13 18:00:00,217.6600,218.0000,217.4000,218.0000,1095210
2025-01-13 17:00:00,217.6500,217.8600,217.6000,217.6000,285
2025-01-13 16:00:00,217.4000,217.9900,217.4000,217.4000,3572355
2025-01-13 15:00:00,217.0100,217.7900,216.8410,217.4000,658624
2025-01-13 14:00:00,216.7300,217.4200,216.5050,217.0750,256320
2025-01-13 13:00:00,216.7400,217.0800,216.3600,216.7550,158553
2025-01-13 12:00:00,216.1300,216.9028,215.9300,216.7800,168309
2025-01-13 11:00:00,217.2600,217.2600,215.9600,216.0550,255641
2025-01-13 10:00:00,217.9150,219.5900,217.0550,217.1750,451321
2025-01-13 09:00:00,219.2800,219.9000,214.7500,218.0299,381374
2025-01-13 08:00:00,218.4900,220.0000,217.3600,218.4100,1978
2025-01-13 07:00:00,218.4900,218.9900,217.9600,218.6500,3026
2025-01-13 06:00:00,218.2200,218.5000,218.0200,218.1100,223
2025-01-13 05:00:00,217.7000,218.4300,217.7000,218.2000,1259
2025-01-13 04:00:00,219.0200,219.0500,217.6300,217.8300,455
2025-01-10 19:00:00,219.7500,219.9900,219.0400,219.0744,790913
2025-01-10 18:00:00,219.1500,219.9900,219.0300,219.5500,790907
2025-01-10 17:00:00,219.0100,219.7500,219.0100,219.5300,41711
2025-01-10 16:00:00,219.7400,224.0000,217.2200,219.7300,2867902
2025-01-10 15:00:00,220.1300,220.2900,218.5363,219.6600,596186
2025-01-10 14:00:00,220.5500,221.0000,219.8600,220.2050,215862
2025-01-10 13:00:00,218.2000,220.6300,218.1000,220.5700,300736
2025-01-10 12:00:00,218.2100,218.2600,216.8000,218.2600,298979
2025-01-10 11:00:00,218.9100,219.6700,218.1350,218.1350,310947
2025-01-10 10:00:00,220.3600,220.6050,218.5400,218.8125,283030
2025-01-10 09:00:00,221.4000,223.1800,220.2700,220.5550,225530
2025-01-10 08:00:00,223.2180,224.8000,219.8300,221.4000,5494
2025-01-10 07:00:00,223.2600,223.5800,223.0600,223.0700,518
2025-01-10 06:00:00,223.5000,223.5900,223.2200,223.4900,184
2025-01-10 05:00:00,223.5100,223.5900,223.3000,223.4900,648
2025-01-10 04:00:00,223.5300,223.9300,223.1700,223.5000,4087
2025-01-08 19:00:00,223.1800,223.1800,221.0000,223.1800,636242
2025-01-08 18:00:00,223.1800,223.1800,222.5000,223.1800,637348
2025-01-08 17:00:00,223.1500,223.2100,222.5000,222.5000,701
2025-01-08 16:00:00,223.1000,224.5000,221.0000,221.0000,2045403
2025-01-08 15:00:00,222.9900,223.6050,222.8100,223.1100,467243
2025-01-08 14:00:00,222.1900,223.7200,222.1000,222.9400,192157
2025-01-08 13:00:00,221.8100,223.0750,221.8100,222.3703,242860
2025-01-08 12:00:00,222.4000,222.5200,221.1024,221.8500,137236
2025-01-08 11:00:00,221.8400,222.6850,221.2600,222.4100,196115
2025-01-08 10:00:00,222.1519,222.7000,220.8300,221.7500,333182
2025-01-08 09:00:00,223.8400,224.9000,222.1200,222.1500,205331
2025-01-08 08:00:00,224.0000,224.8300,223.0000,223.4300,67860
2025-01-08 07:00:00,224.0000,224.2000,223.2100,223.4600,842
2025-01-08 06:00:00,224.5400,224.5400,223.2100,223.9700,462
2025-01-08 05:00:00,224.4800,224.5400,224.2000,224.5400,60
2025-01-08 04:00:00,224.0100,224.9700,223.9600,224.1100,433
2025-01-07 19:00:00,223.9600,224.4900,223.8000,224.4900,924561
2025-01-07 18:00:00,223.0800,224.4700,223.0800,224.4700,924646
2025-01-07 17:00:00,224.4700,224.4700,223.0800,224.1300,269
2025-01-07 16:00:00,224.0000,225.8000,222.0000,223.9600,2910895
2025-01-07 15:00:00,224.0109,224.1700,222.8300,224.0000,553609
2025-01-07 14:00:00,224.5800,224.7100,223.5800,224.0299,186204
2025-01-07 13:00:00,224.6244,225.3900,224.6244,224.7100,243514
2025-01-07 12:00:00,225.7600,225.9600,224.4600,224.7117,185250
