"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.11.2024","5.870,62","5.912,79","5.915,32","5.853,01","","-1,32%"
"14.11.2024","5.949,17","5.989,68","5.993,88","5.942,28","","-0,60%"
"13.11.2024","5.985,38","5.985,75","6.008,19","5.965,91","","0,02%"
"12.11.2024","5.983,99","6.003,60","6.009,92","5.960,08","","-0,29%"
"11.11.2024","6.001,35","6.008,86","6.017,31","5.986,69","","0,10%"
"08.11.2024","5.995,54","5.976,76","6.012,45","5.976,76","","0,38%"
"07.11.2024","5.973,10","5.947,21","5.983,84","5.947,21","","0,74%"
"06.11.2024","5.929,04","5.864,89","5.936,14","5.864,89","","2,53%"
"05.11.2024","5.782,76","5.722,43","5.783,44","5.722,10","","1,23%"
"04.11.2024","5.712,69","5.725,15","5.741,43","5.696,51","","-0,28%"
"01.11.2024","5.728,80","5.723,22","5.772,52","5.723,22","","0,41%"
"31.10.2024","5.705,45","5.775,34","5.775,34","5.702,86","","-1,86%"
"30.10.2024","5.813,67","5.832,65","5.850,94","5.811,28","","-0,33%"
"29.10.2024","5.832,92","5.819,68","5.847,19","5.802,17","","0,16%"
"28.10.2024","5.823,52","5.833,93","5.842,92","5.823,08","","0,27%"
"25.10.2024","5.808,12","5.826,75","5.862,82","5.799,98","","-0,03%"
"24.10.2024","5.809,86","5.817,80","5.817,80","5.784,92","","0,21%"
"23.10.2024","5.797,42","5.834,50","5.834,85","5.762,41","","-0,92%"
"22.10.2024","5.851,20","5.832,70","5.863,04","5.821,17","","-0,05%"
"21.10.2024","5.853,98","5.857,82","5.866,92","5.824,79","","-0,18%"
"18.10.2024","5.864,67","5.859,43","5.872,17","5.846,11","","0,40%"
"17.10.2024","5.841,47","5.875,62","5.878,46","5.840,25","","-0,02%"
"16.10.2024","5.842,47","5.816,58","5.846,52","5.808,34","","0,47%"
"15.10.2024","5.815,26","5.866,74","5.870,36","5.804,48","","-0,76%"
"14.10.2024","5.859,85","5.829,81","5.871,41","5.829,57","","0,77%"
"11.10.2024","5.815,03","5.775,09","5.822,13","5.775,09","","0,61%"
"10.10.2024","5.780,05","5.778,36","5.795,03","5.764,76","","-0,21%"
"09.10.2024","5.792,04","5.751,80","5.796,80","5.745,02","","0,71%"
"08.10.2024","5.751,13","5.719,14","5.757,60","5.714,56","","0,97%"
"07.10.2024","5.695,94","5.737,80","5.739,34","5.686,85","","-0,96%"
"04.10.2024","5.751,07","5.737,48","5.753,21","5.702,83","","0,90%"
"03.10.2024","5.699,94","5.698,19","5.718,78","5.677,37","","-0,17%"
"02.10.2024","5.709,54","5.698,14","5.719,63","5.674,00","","0,01%"
"01.10.2024","5.708,75","5.757,73","5.757,73","5.681,28","","-0,93%"
"30.09.2024","5.762,48","5.726,52","5.765,14","5.703,53","","0,42%"
"27.09.2024","5.738,17","5.755,36","5.763,78","5.727,34","","-0,13%"
"26.09.2024","5.745,37","5.762,22","5.767,37","5.721,01","","0,40%"
"25.09.2024","5.722,26","5.733,65","5.741,03","5.712,06","","-0,19%"
"24.09.2024","5.732,93","5.727,66","5.735,32","5.698,99","","0,25%"
"23.09.2024","5.718,57","5.711,90","5.725,36","5.704,22","","0,28%"
"20.09.2024","5.702,55","5.709,64","5.715,14","5.674,49","","-0,19%"
"19.09.2024","5.713,64","5.702,63","5.733,57","5.686,42","","1,70%"
"18.09.2024","5.618,26","5.641,68","5.689,75","5.615,08","","-0,29%"
"17.09.2024","5.634,58","5.655,51","5.670,81","5.614,05","","0,03%"
"16.09.2024","5.633,09","5.615,21","5.636,05","5.604,53","","0,13%"
"13.09.2024","5.626,02","5.603,34","5.636,27","5.601,65","","0,54%"
"12.09.2024","5.595,76","5.557,48","5.600,71","5.535,50","","0,75%"
"11.09.2024","5.554,13","5.496,42","5.560,41","5.406,96","","1,07%"
"10.09.2024","5.495,52","5.490,51","5.497,91","5.441,72","","0,45%"
"09.09.2024","5.471,05","5.442,07","5.484,20","5.434,49","","1,16%"
"06.09.2024","5.408,42","5.507,33","5.522,47","5.402,62","","-1,73%"
"05.09.2024","5.503,41","5.520,08","5.546,30","5.480,54","","-0,30%"
"04.09.2024","5.520,07","5.506,68","5.552,99","5.503,66","","-0,16%"
